epoch;accuracy;loss;val_accuracy;val_loss
0;0.73369837;4.2986064970701;0.442;27.2473326921463
1;0.79094076;2.6847336495201524;0.504;19.027804374694824
2;0.8227974;2.0031179196505833;0.622;7.696273595094681
3;0.8690891;1.2959475481076999;0.56;9.783908873796463
4;0.8740667;1.180159612948649;0.728;6.146081283688545
5;0.89945245;0.8151225708225708;0.704;4.9062356650829315
6;0.92135394;0.5831978784393355;0.646;6.880364775657654
7;0.91090095;0.717981980675011;0.742;5.313749670982361
8;0.92135394;0.5879498274046315;0.776;3.4832876101136208
9;0.9402688;0.4022734194869735;0.734;4.252683594822884
10;0.94126433;0.3418671978091021;0.784;3.530167579650879
11;0.9293181;0.48955849561638176;0.74;4.757904812693596
12;0.94225985;0.4121467695942806;0.714;5.548713833093643
13;0.9477352;0.38589711368576884;0.798;3.043728619813919
14;0.9442509;0.32129044327444445;0.818;2.728505030274391
15;0.9452464;0.38777026907572176;0.8;2.9637699127197266
16;0.9347934;0.41668298937688125;0.76;3.469551667571068
17;0.94922847;0.3553458486343866;0.824;2.087551560252905
18;0.95520157;0.29518812193719546;0.76;4.320350140333176
19;0.95968145;0.2868997462686714;0.784;3.338680427521467
20;0.9636635;0.19378122646772608;0.798;3.1334001384675503
21;0.95868593;0.2918767936985146;0.784;3.745206616818905
22;0.95868593;0.2470985677427853;0.756;4.024628251791
23;0.96217024;0.2146114442101946;0.818;2.664924703538418
24;0.9651568;0.19928373916003408;0.844;1.9737010188400745
25;0.96814334;0.1920695549663807;0.784;3.6888842061161995
26;0.9641613;0.19093757149621407;0.786;3.1183634623885155
27;0.9576904;0.25694316075656026;0.74;3.9877443313598633
28;0.9711299;0.17848555449042422;0.794;3.604842931032181
29;0.9766053;0.1233840497044316;0.776;2.9290920943021774
